case_id,pd,segment,segment_default_rate,Top Risk Drivers,ai_decision,policy_status,next_step,ai_reason,timestamp,model_version,langgraph_version
1452671,0.5319000577031292,Review/Reject,0.3418,"['int_rate', 'dti', 'acc_open_past_24mths', 'term', 'home_ownership_RENT']",Reject,PD ≥ 30% Very High Risk,Inform the applicant of the rejection and provide justification based on the high probability of default.,"The PD of 53.19% falls into the 'Very High Risk' category according to the bank policy, which indicates a significant risk level. Given this high PD, the loan should be rejected as it does not meet the criteria for approval.",2026-01-28T01:12:48.461010,gpt-4o-mini,1.0.1
464451,0.2681952753441822,QA,0.1617,"['int_rate', 'avg_cur_bal', 'application_type_Joint App', 'acc_open_past_24mths', 'loan_to_income']",Manual Review,PD is below 30% and below the segment default rate,Submit for human review to assess the overall risk.,"The PD is 26.82%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, there are other risk factors present, making the case borderline and requiring human judgment.",2026-01-28T01:12:51.346179,gpt-4o-mini,1.0.1
809706,0.2889793763480894,QA,0.1617,"['int_rate', 'avg_cur_bal', 'term', 'dti', 'acc_open_past_24mths']",Approved with Caution,Not clearly supported by policy,Proceed with caution and monitor the loan closely.,"The PD is below 30% but above the segment default rate, and there are other risk factors present.",2026-01-28T01:12:53.631571,gpt-4o-mini,1.0.1
1538286,0.0996373346731912,QA,0.1617,"['int_rate', 'revol_util', 'dti', 'acc_open_past_24mths', 'inq_last_6mths']",Approved with Caution,Manual Review,Proceed with caution and monitor the loan closely.,"The PD of 9.96% is below 30% but above the segment default rate of 16.17%. Additionally, there are other risk factors present, which necessitates a cautious approach.",2026-01-28T01:12:55.752232,gpt-4o-mini,1.0.1
822739,0.3662413496593101,Review/Reject,0.3418,"['dti', 'acc_open_past_24mths', 'avg_cur_bal', 'bc_util', 'loan_to_income']",Manual Review,PD ≥ 30%,Conduct a manual review to assess the overall credit risk and determine the appropriate action.,"The PD is 36.62%, which is above the 30% threshold, indicating a higher credit risk. However, the decision requires further evaluation due to the presence of other risk factors and the segment default rate being close to the PD.",2026-01-28T01:12:59.025203,gpt-4o-mini,1.0.1
549665,0.2295305824028513,QA,0.1617,"['int_rate', 'total_rev_hi_lim', 'loan_to_income', 'acc_open_past_24mths', 'purpose_home_improvement']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.",Conduct a manual review to assess the overall risk and make a final decision.,"The PD is 22.95%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, the presence of other risk drivers indicates that this case may require further evaluation.",2026-01-28T01:13:02.740746,gpt-4o-mini,1.0.1
521926,0.0835053374774747,QA,0.1617,"['int_rate', 'avg_cur_bal', 'loan_to_income', 'acc_open_past_24mths', 'mths_since_last_delinq']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.",Conduct a manual review to assess the overall risk and make a final decision.,"The PD is 8.35%, which is below the 30% threshold, and it is also below the segment default rate of 16.17%. However, there are other risk factors indicated by the top risk drivers, which necessitate a closer examination of the case.",2026-01-28T01:13:05.949949,gpt-4o-mini,1.0.1
383370,0.2303521044068857,QA,0.1617,"['loan_to_income', 'term', 'int_rate', 'avg_cur_bal', 'mths_since_last_delinq']",Manual Review,"PD is below 30% and segment default rate is above 30%, but other risk factors are present.",Review the case further to assess the impact of the identified risk drivers.,"The PD is 23.04%, which is below the 30% threshold, and the segment default rate is 16.17%. However, there are other risk factors indicated by the top risk drivers, which necessitates a closer examination of the case.",2026-01-28T01:13:09.093722,gpt-4o-mini,1.0.1
707053,0.1442002900697915,QA,0.1617,"['int_rate', 'application_type_Joint App', 'avg_cur_bal', 'loan_to_income', 'home_ownership_MORTGAGE']",Manual Review,"PD is below 30% and below the segment default rate, but other risk factors are present.",Submit for human judgment to assess the overall risk and make a final decision.,"The PD is 14.42%, which is below the 30% threshold and also below the segment default rate of 16.17%. However, there are other risk factors indicated, such as high interest rates and joint application type, which necessitate a more thorough evaluation.",2026-01-28T01:13:12.106513,gpt-4o-mini,1.0.1
1629238,0.3975243304285293,Review/Reject,0.3418,"['int_rate', 'dti', 'revol_util', 'home_ownership_RENT', 'term']",Reject,Very High Risk,Decline the loan application based on the high probability of default.,The PD of 39.75% falls into the 'Very High Risk' category as it is greater than or equal to 30%. This exceeds the acceptable risk limits outlined in the bank policy.,2026-01-28T01:13:14.384659,gpt-4o-mini,1.0.1
